싸움의고수,한식,B,무난,1인보쌈/마늘보쌈/막국수
써브웨이,양식,B,무난,서브웨이클럽/스파이시이탈리안
썬더치킨,양식,A,무난,크리스피치킨/간장치킨
안암아줌마치킨,양식,B,호화,커리퀸치킨/순살치킨
옥두헌손두부,한식,A,무난,얼큰순두부/매운순두부
어부삼대,한식,A,무난,삼치구이/아구탕
영자쓰곱창,한식,B,호화,콩나물곱창
영철버거,양식,B,저렴,1905/스트리트세트/스트리트버거
육쌈냉면,한식,B,무난,비빔냉면+숯불고기
토담,한식,A,저렴,김치찌개/제육볶음
한솥도시락,한식,A,저렴,돈까스도련님/진달래
하이솟대샤브샤브,한식,A,무난,솟대샤브샤브
호만두,중식,C,저렴,김치교자/고기교자
이삭토스트,양식,B,저렴,불갈비mvp/햄치즈토스트
홍콩반점,중식,B,무난,짜장면/짬뽕/볶음밥
튄닥꾼닥,양식,D,무난,후라이드/오븐구이
